Iter,V_set,Mu,R_path,log_Q_beta,Real_Q_beta,log_Q_yaw,Real_Q_yaw,log_R_track,Real_R_track,log_R_rate,Real_R_rate,log_W_slip,Real_W_slip,Cost,SI_max,LatErr,Energy,SpdErr,Jerk,Danger
0,30,0.4,60,3.0985,1254.5,3.7217,5269,4.9968,99258,3.4708,2956.7,1.1602,14.463,11284000,0.2479,0.0746,0.0226,0.0309,0.0185,0.295
0,30,0.4,60,4.1915,15541,4.4261,26674,3.5919,3907.5,4.3824,24122,2.5979,396.2,11809000,0.2475,0.0746,0.0236,0.0313,0.0174,0.295
0,30,0.4,60,3.2802,1906.5,3.9753,9447.3,1.8992,79.29,3.1048,1272.9,1.695,49.542,30311000,0.2478,0.0745,0.0606,0.0314,0.0141,0.295
0,30,0.4,60,2.6683,465.96,3.5021,3177.5,1.7011,50.25,3.2881,1941.3,2.9108,814.37,34627000,0.2477,0.0743,0.0693,0.0313,0.0092,0.295
0,30,0.4,60,4.4943,31213,3.6115,4087.6,4.9671,92706,3.9781,9508.3,4.4301,26920,20642000,0.2481,0.0746,0.0413,0.0276,0.0159,0.295
0,30,0.4,60,2.6459,442.44,2.7164,520.44,4.1974,15753,4.4295,26886,1.002,10.045,11292000,0.2479,0.0746,0.0226,0.031,0.0194,0.295
0,30,0.4,60,3.6606,4577.3,3.2731,1875.4,3.5387,3456.6,3.5873,3866.1,1.0012,10.027,11293000,0.2479,0.0746,0.0226,0.031,0.0183,0.295
0,30,0.4,60,4.4989,31546,4.0469,11141,4.1742,14936,4.334,21575,1.0498,11.216,11291000,0.2479,0.0746,0.0226,0.031,0.0195,0.295
0,30,0.4,60,3.6344,4309.1,3.9446,8802.8,3.8045,6374.7,3.1067,1278.5,1,10.001,11288000,0.2479,0.0746,0.0226,0.0309,0.0184,0.295
0,30,0.4,60,3.794,6222.9,4.4416,27645,4.7312,53847,3.8176,6571.1,1,10.001,11284000,0.2479,0.0746,0.0226,0.0309,0.0184,0.295
0,30,0.4,60,2.8058,639.5,2.9819,959.16,3.6273,4239.3,3.5636,3660.9,1.6157,41.278,11299000,0.2479,0.0746,0.0226,0.031,0.0182,0.295
0,30,0.4,60,4.1967,15729,4.4531,28385,4.9865,96935,4.319,20847,1.0119,10.278,11284000,0.2479,0.0746,0.0226,0.0309,0.0199,0.295
0,30,0.4,60,2.5886,387.8,2.7268,533.15,4.4484,28083,3.5337,3417.2,1.359,22.857,11285000,0.2479,0.0746,0.0226,0.0309,0.0184,0.295
0,30,0.4,60,2.0493,112.01,2.8064,640.28,3.9055,8044.6,3.6646,4620,1.9116,81.586,11297000,0.2479,0.0746,0.0226,0.0309,0.0182,0.295
0,30,0.4,60,2.3889,244.87,3.6484,4450.1,3.7916,6189.2,3.9015,7970.5,1.5004,31.654,11295000,0.2479,0.0746,0.0226,0.031,0.0196,0.295
0,30,0.4,60,2.1022,126.54,2.7734,593.41,4.8096,64500,3.9194,8306.6,1.2708,18.656,11284000,0.2479,0.0746,0.0226,0.0309,0.0184,0.295
0,30,0.4,60,2.352,224.89,3.2329,1709.8,3.6576,4545.8,3.3927,2470.2,1.0087,10.202,11289000,0.2479,0.0746,0.0226,0.031,0.0183,0.295
0,30,0.4,60,3.6043,4020.4,2.4973,314.29,4.1653,14632,3.4347,2721.1,1.6881,48.761,11287000,0.2479,0.0746,0.0226,0.0309,0.0184,0.295
0,30,0.4,60,4.0667,11661,3.3552,2265.6,4.597,39535,3.389,2449.1,1.1667,14.678,11284000,0.2479,0.0746,0.0226,0.0309,0.0185,0.295
0,30,0.4,60,2.3425,220.01,4.3292,21342,4.8925,78077,4.3826,24131,1.1019,12.646,11285000,0.2479,0.0746,0.0226,0.0309,0.0198,0.295
0,30,0.4,60,3.8534,7135,2.407,255.24,4.021,10496,3.0716,1179.3,1.5907,38.971,11288000,0.2479,0.0746,0.0226,0.0309,0.0184,0.295
0,30,0.4,60,4.3773,23839,2.9717,936.97,4.2739,18790,3.0591,1145.9,1.3998,25.108,11286000,0.2479,0.0746,0.0226,0.0309,0.0184,0.295
0,30,0.4,60,4.2544,17965,3.9789,9524.7,3.9735,9407.4,3.1064,1277.7,1.0004,10.008,11287000,0.2479,0.0746,0.0226,0.0309,0.0184,0.295
0,30,0.4,60,3.5582,3615.9,3.369,2338.6,4.5631,36568,3.6101,4074.8,1.5718,37.305,11285000,0.2479,0.0746,0.0226,0.0309,0.0184,0.295
0,30,0.4,60,2.2333,171.11,3.3124,2052.9,4.6437,44021,3.5534,3576,1.3462,22.193,11284000,0.2479,0.0746,0.0226,0.0309,0.0184,0.295
0,30,0.4,60,4.3488,22327,2.3758,237.56,4.3877,24416,4.0397,10956,1.6387,43.522,11287000,0.2479,0.0746,0.0226,0.0309,0.0198,0.295
0,30,0.4,60,4.0268,10637,2.9379,866.81,4.4562,28592,3.3274,2125.4,1.0005,10.011,11286000,0.2479,0.0746,0.0226,0.0309,0.0184,0.295
0,30,0.4,60,4.3499,22382,2.5308,339.46,3.7616,5776.1,4.0047,10109,1.7815,60.463,11303000,0.2479,0.0746,0.0226,0.031,0.0194,0.295
